TermBits,InChannels,ClassCount,WeightBits,DSPCount,LUT4,FF
1,1,1,2,0,22,10
1,1,2,2,0,46,10
1,1,3,2,0,71,10
1,1,4,2,0,86,10
1,1,5,2,0,112,10
1,1,6,2,0,124,10
1,1,7,2,0,152,10
1,1,8,2,0,167,10
1,1,9,2,0,193,10
1,1,10,2,0,206,10
1,1,11,2,0,228,10
1,1,12,2,0,241,10
1,1,13,2,0,274,10
1,1,14,2,0,287,10
1,1,15,2,0,314,10
1,1,16,2,0,328,10
1,1,17,2,0,354,10
1,1,18,2,0,366,10
1,1,19,2,0,389,10
1,1,20,2,0,402,10
1,1,21,2,0,424,10
1,1,22,2,0,438,10
1,1,23,2,0,459,10
1,1,24,2,0,473,10
1,1,25,2,0,514,10
1,1,26,2,0,526,10
1,1,27,2,0,549,10
1,1,28,2,0,562,10
1,1,29,2,0,592,10
1,1,30,2,0,605,10
1,1,31,2,0,631,10
1,1,32,2,0,645,10
1,2,1,2,0,31,13
1,2,2,2,0,62,13
1,2,3,2,0,94,13
1,2,4,2,0,116,13
1,2,5,2,0,149,13
1,2,6,2,0,168,13
1,2,7,2,0,203,13
1,2,8,2,0,225,13
1,2,9,2,0,258,13
1,2,10,2,0,278,13
1,2,11,2,0,307,13
1,2,12,2,0,327,13
1,2,13,2,0,367,13
1,2,14,2,0,387,13
1,2,15,2,0,421,13
1,2,16,2,0,442,13
1,2,17,2,0,475,13
1,2,18,2,0,494,13
1,2,19,2,0,524,13
1,2,20,2,0,544,13
1,2,21,2,0,573,13
1,2,22,2,0,594,13
1,2,23,2,0,622,13
1,2,24,2,0,643,13
1,2,25,2,0,691,13
1,2,26,2,0,710,13
1,2,27,2,0,740,13
1,2,28,2,0,760,13
1,2,29,2,0,797,13
1,2,30,2,0,817,13
1,2,31,2,0,850,13
1,2,32,2,0,871,13
1,3,1,2,0,40,16
1,3,2,2,0,78,16
1,3,3,2,0,117,16
1,3,4,2,0,146,16
1,3,5,2,0,186,16
1,3,6,2,0,212,16
1,3,7,2,0,254,16
1,3,8,2,0,283,16
1,3,9,2,0,323,16
1,3,10,2,0,350,16
1,3,11,2,0,386,16
1,3,12,2,0,413,16
1,3,13,2,0,460,16
1,3,14,2,0,487,16
1,3,15,2,0,528,16
1,3,16,2,0,556,16
1,3,17,2,0,596,16
