TermBits,InChannels,ClassCount,WeightBits,DSPCount,LC,FF,LC_dsp0
1,1,1,2,0,22,10,22
1,1,1,2,1,75,51,22
1,4,21,2,0,1039,19,1039
1,4,21,2,1,648,258,1039
1,4,21,2,3,1065,282,1039
1,4,21,2,7,1681,333,1039
1,6,23,2,0,1550,25,1550
1,6,23,2,1,719,284,1550
1,12,23,2,0,3080,43,3080
1,12,23,2,1,750,304,3080
1,14,23,2,0,3590,49,3590
1,14,23,2,1,768,310,3590
1,15,3,2,0,532,52,532
1,15,3,2,1,221,121,532
1,15,3,2,3,307,145,532
1,15,31,2,0,5124,52,5124
1,15,31,2,1,1018,385,5124
1,17,13,2,0,2569,58,2569
1,17,13,2,1,530,226,2569
1,17,21,2,0,4110,58,4110
1,17,21,2,1,752,302,4110
1,17,21,2,3,1112,326,4110
1,17,21,2,7,1761,377,4110
1,19,23,2,0,4612,64,4612
1,19,23,2,1,806,326,4612
1,20,9,2,0,2059,67,2059
1,20,9,2,1,425,199,2059
1,20,9,2,3,637,223,2059
1,32,15,2,0,5626,103,5626
1,32,15,2,1,617,290,5626
1,32,15,2,3,875,315,5626
1,32,15,2,5,1118,340,5626
1,1,1,3,0,26,10,26
1,1,1,3,1,76,53,26
1,1,23,3,0,551,10,551
1,1,23,3,1,685,266,551
1,8,18,3,0,2648,31,2648
1,8,18,3,1,592,247,2648
1,8,18,3,2,773,261,2648
1,8,18,3,3,886,275,2648
1,8,18,3,6,1332,326,2648
1,10,6,3,0,1072,37,1072
1,10,6,3,1,287,138,1072
1,10,6,3,2,350,152,1072
1,10,6,3,3,437,167,1072
1,10,6,3,6,610,217,1072
1,10,18,3,0,3174,37,3174
1,10,18,3,1,628,254,3174
1,10,18,3,2,805,268,3174
1,10,18,3,3,915,282,3174
1,10,18,3,6,1361,333,3174
1,10,21,3,0,3697,37,3697
1,10,21,3,1,703,281,3697
1,10,21,3,3,1083,310,3697
1,10,21,3,7,1736,375,3697
1,15,16,3,0,4229,52,4229
1,15,16,3,1,594,248,4229
1,15,16,3,2,703,262,4229
1,15,16,3,4,965,291,4229
1,15,16,3,8,1361,357,4229
1,15,18,3,0,4751,52,4751
1,15,18,3,1,662,270,4751
1,15,18,3,2,839,284,4751
1,15,18,3,3,929,298,4751
1,15,18,3,6,1387,350,4751
1,15,20,3,0,5271,52,5271
1,15,20,3,1,707,288,5271
1,15,20,3,2,968,302,5271
1,15,20,3,4,1195,331,5271
1,15,20,3,5,1283,345,5271
1,17,5,3,0,1600,58,1600
1,17,5,3,1,301,152,1600
1,17,5,3,5,516,210,1600
1,28,4,3,0,2124,91,2124
1,28,4,3,1,297,173,2124
1,28,4,3,2,345,187,2124
1,28,4,3,4,448,216,2124
1,31,10,3,0,5796,100,5796
1,31,10,3,1,511,244,5796
1,31,10,3,2,617,258,5796
1,31,10,3,5,846,301,5796
1,1,1,4,0,29,10,29
1,1,1,4,1,77,55,29
1,2,25,4,0,1091,13,1091
1,2,25,4,1,761,290,1091
1,2,25,4,5,1601,362,1091
1,5,5,4,0,565,22,565
1,5,5,4,1,237,114,565
1,5,5,4,5,461,185,565
1,10,24,4,0,5339,37,5339
1,10,24,4,1,771,310,5339
1,10,24,4,2,1003,326,5339
1,10,24,4,3,1164,343,5339
1,10,24,4,4,1361,359,5339
1,10,24,4,6,1614,401,5339
1,10,24,4,8,2111,433,5339
1,12,6,4,0,1616,43,1616
1,12,6,4,1,296,147,1616
1,12,6,4,2,363,163,1616
1,12,6,4,3,448,179,1616
1,12,6,4,6,625,235,1616
1,12,16,4,0,4270,43,4270
1,12,16,4,1,570,241,4270
1,12,16,4,2,680,257,4270
1,12,16,4,4,947,290,4270
1,12,16,4,8,1382,364,4270
1,14,12,4,0,3760,49,3760
1,14,12,4,1,480,211,3760
1,14,12,4,2,638,227,3760
1,14,12,4,3,668,243,3760
1,14,12,4,4,804,260,3760
1,14,12,4,6,955,300,3760
1,16,7,4,0,2692,55,2692
1,16,7,4,1,402,176,2692
1,16,7,4,7,950,287,2692
1,18,5,4,0,2159,61,2159
1,18,5,4,1,342,163,2159
1,18,5,4,5,665,240,2159
1,21,10,4,0,4811,70,4811
1,21,10,4,1,571,226,4811
1,21,10,4,2,689,243,4811
1,21,10,4,5,1100,304,4811
1,27,5,4,0,3231,88,3231
1,27,5,4,1,394,191,3231
1,27,5,4,5,705,267,3231
1,31,8,4,0,5894,100,5894
1,31,8,4,1,523,233,5894
1,31,8,4,2,638,250,5894
1,31,8,4,4,821,285,5894
1,31,8,4,8,1221,363,5894
1,1,1,5,0,32,10,32
1,1,1,5,1,78,57,32
1,2,11,5,0,582,13,582
1,2,11,5,1,377,162,582
1,2,32,5,0,1671,13,1671
1,2,32,5,1,926,355,1671
1,2,32,5,2,1152,373,1671
1,2,32,5,4,1567,416,1671
1,2,32,5,8,2369,490,1671
1,6,7,5,0,1128,25,1128
1,6,7,5,1,297,138,1128
1,6,7,5,7,693,254,1128
1,6,14,5,0,2229,25,2229
1,6,14,5,1,491,205,2229
1,6,14,5,2,642,223,2229
1,6,14,5,7,1124,322,2229
1,6,21,5,0,3332,25,3332
1,6,21,5,1,675,271,3332
1,6,21,5,3,1098,308,3332
1,6,21,5,7,1731,390,3332
1,6,28,5,0,4436,25,4436
1,6,28,5,1,868,335,4436
1,6,28,5,2,1187,353,4436
1,6,28,5,4,1613,398,4436
1,6,28,5,7,1936,453,4436
1,16,6,5,0,2781,55,2781
1,16,6,5,1,330,175,2781
1,16,6,5,2,404,195,2781
1,16,6,5,3,523,215,2781
1,16,6,5,6,743,283,2781
1,16,12,5,0,5526,55,5526
1,16,12,5,1,529,245,5526
1,16,12,5,2,718,265,5526
1,16,12,5,3,767,285,5526
1,16,12,5,4,933,314,5526
1,16,12,5,6,1103,354,5526
1,17,8,5,0,3886,58,3886
1,17,8,5,1,423,202,3886
1,17,8,5,2,497,222,3886
1,17,8,5,4,684,271,3886
1,17,8,5,8,1023,353,3886
1,22,8,5,0,5015,73,5015
1,22,8,5,1,443,217,5015
1,22,8,5,2,519,237,5015
1,22,8,5,4,716,286,5015
1,22,8,5,8,1035,368,5015
1,30,7,5,0,6082,97,6082
1,30,7,5,1,450,230,6082
1,30,7,5,7,929,360,6082
1,1,1,6,0,35,10,35
1,1,1,6,1,79,59,35
1,1,18,6,0,600,10,600
1,1,18,6,1,565,227,600
1,1,18,6,2,753,247,600
1,1,18,6,3,871,272,600
1,1,18,6,6,1287,333,600
1,2,19,6,0,1170,13,1170
1,2,19,6,1,593,240,1170
1,4,18,6,0,2306,19,2306
1,4,18,6,1,766,258,2306
1,4,18,6,2,1002,279,2306
1,4,18,6,3,1219,307,2306
1,4,18,6,6,1861,371,2306
1,5,18,6,0,2866,22,2866
1,5,18,6,1,791,262,2866
1,5,18,6,2,1007,283,2866
1,5,18,6,3,1243,311,2866
1,5,18,6,6,1882,375,2866
1,7,23,6,0,5151,28,5151
1,7,23,6,1,978,319,5151
1,9,6,6,0,1740,34,1740
1,9,6,6,1,321,155,1740
1,9,6,6,2,406,177,1740
1,9,6,6,3,519,207,1740
1,9,6,6,6,733,274,1740
1,15,8,6,0,4002,52,4002
1,15,8,6,1,412,196,4002
1,15,8,6,2,494,218,4002
1,15,8,6,4,682,270,4002
1,15,8,6,8,1021,360,4002
1,17,8,6,0,4593,58,4593
1,17,8,6,1,505,213,4593
1,17,8,6,2,627,236,4593
1,17,8,6,4,859,291,4593
1,17,8,6,8,1300,385,4593
1,24,7,6,0,5702,79,5702
1,24,7,6,1,494,222,5702
1,24,7,6,7,1144,370,5702
1,25,4,6,0,3429,82,3429
1,25,4,6,1,342,185,3429
1,25,4,6,2,419,208,3429
1,25,4,6,4,560,262,3429
1,31,6,6,0,6274,100,6274
1,31,6,6,1,480,231,6274
1,31,6,6,2,566,254,6274
1,31,6,6,3,712,285,6274
1,31,6,6,6,994,355,6274
1,1,1,7,0,38,10,38
1,1,1,7,1,80,61,38
1,4,4,7,0,598,19,598
1,4,4,7,1,205,113,598
1,4,4,7,2,269,137,598
1,4,4,7,4,397,190,598
1,5,22,7,0,4030,22,4030
1,5,22,7,1,807,327,4030
1,5,22,7,2,1166,351,4030
1,5,25,7,0,4596,22,4596
1,5,25,7,1,927,360,4596
1,5,25,7,5,1953,465,4596
1,7,20,7,0,5172,28,5172
1,7,20,7,1,769,312,5172
1,7,20,7,2,1092,336,5172
1,7,20,7,4,1421,393,5172
1,7,20,7,5,1479,416,5172
1,15,2,7,0,1173,52,1173
1,15,2,7,1,203,127,1173
1,15,2,7,2,247,152,1173
1,15,3,7,0,1750,52,1750
1,15,3,7,1,260,143,1750
1,15,3,7,3,406,199,1750
1,15,4,7,0,2314,52,2314
1,15,4,7,1,299,155,2314
1,15,4,7,2,375,180,2314
1,15,4,7,4,520,237,2314
1,15,5,7,0,2892,52,2892
1,15,5,7,1,367,171,2892
1,15,5,7,5,742,278,2892
1,15,6,7,0,3453,52,3453
1,15,6,7,1,406,183,3453
1,15,6,7,2,498,208,3453
1,15,6,7,3,643,240,3453
1,15,6,7,6,928,316,3453
1,15,10,7,0,5737,52,5737
1,15,10,7,1,627,235,5737
1,15,10,7,2,741,260,5737
1,15,10,7,5,1215,343,5737
1,27,6,7,0,6304,88,6304
1,27,6,7,1,441,228,6304
1,27,6,7,2,525,254,6304
1,27,6,7,3,624,288,6304
1,27,6,7,6,865,367,6304
1,1,1,8,0,41,10,41
1,1,1,8,1,85,65,41
1,3,26,8,0,3024,16,3024
1,3,26,8,1,939,366,3024
1,3,26,8,2,1295,392,3024
1,5,3,8,0,640,22,640
1,5,3,8,1,207,112,640
1,5,3,8,3,353,172,640
1,5,26,8,0,5406,22,5406
1,5,26,8,1,1239,401,5406
1,5,26,8,2,1547,428,5406
1,6,17,8,0,4196,25,4196
1,6,17,8,1,848,295,4196
1,14,3,8,0,1830,49,1830
1,14,3,8,1,263,146,1830
1,14,3,8,3,411,208,1830
1,14,4,8,0,2421,49,2421
1,14,4,8,1,294,159,2421
1,14,4,8,2,381,187,2421
1,14,4,8,4,557,250,2421
1,14,6,8,0,3615,49,3615
1,14,6,8,1,383,189,3615
1,14,6,8,2,484,217,3615
1,14,6,8,3,615,252,3615
1,14,6,8,6,868,337,3615
1,22,5,8,0,4794,73,4794
1,22,5,8,1,463,207,4794
1,22,5,8,5,988,332,4794
1,23,6,8,0,6040,76,6040
1,23,6,8,1,507,225,6040
1,23,6,8,2,677,254,6040
1,23,6,8,3,782,291,6040
1,23,6,8,6,1137,379,6040
1,27,1,8,0,1224,88,1224
1,27,1,8,1,226,158,1224
1,30,5,8,0,6590,97,6590
1,30,5,8,1,501,232,6590
1,30,5,8,5,1013,356,6590
2,1,1,2,0,28,12,28
2,1,1,2,1,75,54,28
2,7,19,2,0,2624,42,2624
2,7,19,2,1,643,266,2624
2,8,29,2,0,4696,47,4696
2,8,29,2,1,900,361,4696
2,9,3,2,0,547,52,547
2,9,3,2,1,204,121,547
2,9,3,2,3,293,146,547
2,9,6,2,0,1059,52,1059
2,9,6,2,1,292,152,1059
2,9,6,2,2,355,164,1059
2,9,6,2,3,439,177,1059
2,9,6,2,6,601,215,1059
2,9,12,2,0,2106,52,2106
2,9,12,2,1,462,210,2106
2,9,12,2,2,619,222,2106
2,9,12,2,3,649,235,2106
2,9,12,2,4,775,247,2106
2,9,12,2,6,922,273,2106
2,11,24,2,0,5221,62,5221
2,11,24,2,1,796,333,5221
2,11,24,2,2,1030,345,5221
2,11,24,2,3,1184,357,5221
2,11,24,2,4,1379,370,5221
2,11,24,2,6,1614,395,5221
2,11,24,2,8,2110,421,5221
2,19,4,2,0,1590,102,1590
2,19,4,2,1,280,183,1590
2,19,4,2,2,328,195,1590
2,19,4,2,4,438,220,1590
2,19,8,2,0,3139,102,3139
2,19,8,2,1,398,223,3139
2,19,8,2,2,460,235,3139
2,19,8,2,4,615,260,3139
2,19,8,2,8,871,311,3139
2,20,10,2,0,4174,107,4174
2,20,10,2,1,467,249,4174
2,20,10,2,2,568,261,4174
2,20,10,2,5,800,299,4174
2,25,7,2,0,3651,132,3651
2,25,7,2,1,414,244,3651
2,25,7,2,7,781,319,3651
2,25,11,2,0,5732,132,5732
2,25,11,2,1,533,284,5732
2,1,1,3,0,37,12,37
2,1,1,3,1,76,56,37
2,2,10,3,0,588,17,588
2,2,10,3,1,348,154,588
2,2,10,3,2,452,168,588
2,2,10,3,5,691,211,588
2,3,13,3,0,1149,22,1149
2,3,13,3,1,457,188,1149
2,3,19,3,0,1685,22,1685
2,3,19,3,1,613,245,1685
2,4,32,3,0,3883,27,3883
