InCh,OutCh,InBits,WeightBits,OutBits,DSPCount,LC,FF,LC_dsp0
1,1,1,2,4,0,204,90,204
1,1,1,2,4,1,279,161,204
1,14,1,2,4,0,1173,155,1173
1,14,1,2,4,1,379,219,1173
1,14,1,2,4,2,487,270,1173
1,14,1,2,4,7,1029,532,1173
2,20,1,2,4,0,3189,149,3189
2,20,1,2,4,1,355,220,3189
2,20,1,2,4,2,551,272,3189
2,20,1,2,4,4,795,378,3189
2,20,1,2,4,5,853,431,3189
3,21,1,2,4,0,5155,167,5155
3,21,1,2,4,1,416,247,5155
3,21,1,2,4,3,676,351,5155
3,21,1,2,4,7,1235,565,5155
7,7,1,2,4,0,4168,149,4168
7,7,1,2,4,1,408,277,4168
7,7,1,2,4,7,1395,602,4168
13,2,1,2,4,0,2214,202,2214
13,2,1,2,4,1,478,387,2214
13,2,1,2,4,2,701,442,2214
1,1,1,3,4,0,260,90,260
1,1,1,3,4,1,277,163,260
2,16,1,3,4,0,4257,129,4257
2,16,1,3,4,1,326,205,4257
2,16,1,3,4,2,450,259,4257
2,16,1,3,4,4,707,369,4257
2,16,1,3,4,8,1221,599,4257
3,3,1,3,4,0,1264,77,1264
3,3,1,3,4,1,274,171,1264
3,3,1,3,4,3,541,280,1264
3,8,1,3,4,0,3273,102,3273
3,8,1,3,4,1,314,193,3273
3,8,1,3,4,2,440,247,3273
3,8,1,3,4,4,697,357,3273
3,8,1,3,4,8,1264,587,3273
3,13,1,3,4,0,5280,127,5280
3,13,1,3,4,1,356,215,5280
15,1,1,3,4,0,2264,223,2264
15,1,1,3,4,1,519,430,2264
1,1,1,4,4,0,304,90,304
1,1,1,4,4,1,282,165,304
1,7,1,4,4,0,1349,120,1349
1,7,1,4,4,1,328,193,1349
1,7,1,4,4,7,1020,537,1349
1,18,1,4,4,0,3271,175,3271
1,18,1,4,4,1,401,241,3271
1,18,1,4,4,2,568,296,3271
1,18,1,4,4,3,651,351,3271
1,18,1,4,4,6,1003,527,3271
2,12,1,4,4,0,4275,109,4275
2,12,1,4,4,1,313,190,4275
2,12,1,4,4,2,453,246,4275
2,12,1,4,4,3,557,303,4275
2,12,1,4,4,4,715,360,4275
2,12,1,4,4,6,947,483,4275
