UnpackedWidth,PackedNum,PacketLenElems,LC,FF
1,8,1,44,21
1,8,2,45,22
1,8,4,51,23
1,8,8,52,24
1,8,16,53,25
1,8,32,55,26
1,8,64,56,27
1,8,128,59,28
1,8,256,62,29
1,8,512,64,30
1,8,1024,66,31
1,8,2048,68,32
1,8,4096,71,33
1,8,8192,73,34
2,4,1,43,21
2,4,2,46,22
2,4,4,48,23
2,4,8,51,24
2,4,16,52,25
2,4,32,54,26
2,4,64,55,27
2,4,128,58,28
2,4,256,61,29
2,4,512,63,30
2,4,1024,65,31
2,4,2048,67,32
2,4,4096,70,33
2,4,8192,72,34
4,2,1,41,22
4,2,2,40,23
4,2,4,44,24
4,2,8,47,25
4,2,16,48,26
4,2,32,50,27
4,2,64,51,28
4,2,128,54,29
4,2,256,57,30
4,2,512,59,31
4,2,1024,61,32
4,2,2048,63,33
4,2,4096,66,34
4,2,8192,68,35
8,1,1,39,27
8,1,2,40,28
8,1,4,44,29
8,1,8,47,30
8,1,16,48,31
8,1,32,50,32
8,1,64,51,33
8,1,128,54,34
8,1,256,57,35
8,1,512,59,36
8,1,1024,61,37
8,1,2048,63,38
8,1,4096,66,39
8,1,8192,68,40
