InBits,InChannels,PoolMode,LUT4,FF
1,1,0,106,50
1,2,0,135,82
1,3,0,61,43
1,4,0,64,49
1,5,0,67,55
1,6,0,70,61
1,7,0,73,67
1,8,0,76,73
1,9,0,80,79
1,10,0,82,85
1,11,0,85,91
1,12,0,89,97
1,13,0,92,103
1,14,0,94,109
1,15,0,98,115
1,16,0,101,121
1,17,0,104,127
1,18,0,107,133
1,19,0,110,139
1,20,0,112,145
1,21,0,116,151
1,22,0,119,157
1,23,0,122,163
1,24,0,125,169
1,25,0,128,175
1,26,0,131,181
1,27,0,134,187
1,28,0,137,193
1,29,0,140,199
1,30,0,143,205
1,31,0,146,211
1,32,0,148,217
2,1,0,139,82
2,2,0,72,49
2,3,0,82,61
2,4,0,92,73
2,5,0,102,85
2,6,0,113,97
2,7,0,122,109
2,8,0,133,121
2,9,0,143,133
2,10,0,152,145
2,11,0,163,157
2,12,0,173,169
2,13,0,183,181
2,14,0,192,193
2,15,0,203,205
2,16,0,213,217
2,17,0,222,229
2,18,0,233,241
2,19,0,243,253
2,20,0,253,265
2,21,0,263,277
2,22,0,273,289
2,23,0,283,301
2,24,0,292,313
2,25,0,303,325
2,26,0,312,337
2,27,0,323,349
2,28,0,333,361
2,29,0,342,373
2,30,0,353,385
2,31,0,363,397
2,32,0,373,409
3,1,0,70,43
3,2,0,88,61
3,3,0,107,79
3,4,0,125,97
3,5,0,143,115
3,6,0,161,133
3,7,0,179,151
3,8,0,197,169
3,9,0,214,187
3,10,0,233,205
3,11,0,250,223
3,12,0,269,241
3,13,0,286,259
3,14,0,305,277
3,15,0,322,295
3,16,0,340,313
3,17,0,358,331
3,18,0,377,349
3,19,0,395,367
3,20,0,413,385
3,21,0,431,403
3,22,0,449,421
3,23,0,467,439
3,24,0,484,457
3,25,0,503,475
3,26,0,521,493
3,27,0,539,511
3,28,0,557,529
3,29,0,575,547
3,30,0,593,565
3,31,0,610,583
3,32,0,629,601
4,1,0,75,49
4,2,0,98,73
4,3,0,122,97
4,4,0,145,121
4,5,0,168,145
4,6,0,191,169
4,7,0,213,193
4,8,0,236,217
4,9,0,260,241
4,10,0,283,265
4,11,0,306,289
4,12,0,328,313
4,13,0,351,337
4,14,0,375,361
4,15,0,398,385
4,16,0,421,409
4,17,0,444,433
4,18,0,467,457
4,19,0,490,481
4,20,0,513,505
4,21,0,536,529
4,22,0,558,553
4,23,0,582,577
4,24,0,604,601
4,25,0,628,625
4,26,0,650,649
4,27,0,674,673
4,28,0,696,697
4,29,0,719,721
4,30,0,743,745
4,31,0,765,769
4,32,0,788,793
5,1,0,84,55
5,2,0,118,85
5,3,0,152,115
5,4,0,184,145
5,5,0,217,175
5,6,0,251,205
5,7,0,284,235
5,8,0,317,265
5,9,0,349,295
5,10,0,383,325
5,11,0,416,355
5,12,0,449,385
5,13,0,482,415
5,14,0,515,445
5,15,0,548,475
5,16,0,581,505
5,17,0,614,535
5,18,0,647,565
5,19,0,680,595
5,20,0,713,625
5,21,0,746,655
5,22,0,779,685
5,23,0,812,715
5,24,0,845,745
5,25,0,878,775
5,26,0,911,805
5,27,0,944,835
5,28,0,976,865
5,29,0,1009,895
5,30,0,1043,925
5,31,0,1075,955
5,32,0,1109,985
6,1,0,87,61
6,2,0,123,97
6,3,0,158,133
6,4,0,193,169
6,5,0,228,205
6,6,0,263,241
6,7,0,298,277
6,8,0,332,313
6,9,0,368,349
6,10,0,403,385
6,11,0,438,421
6,12,0,473,457
6,13,0,508,493
6,14,0,543,529
6,15,0,578,565
6,16,0,613,601
6,17,0,648,637
6,18,0,682,673
6,19,0,717,709
6,20,0,752,745
6,21,0,788,781
6,22,0,823,817
6,23,0,857,853
6,24,0,893,889
6,25,0,928,925
6,26,0,963,961
6,27,0,998,997
6,28,0,1033,1033
6,29,0,1068,1069
6,30,0,1102,1105
6,31,0,1137,1141
6,32,0,1172,1177
7,1,0,89,67
7,2,0,128,109
7,3,0,167,151
7,4,0,204,193
7,5,0,243,235
7,6,0,281,277
7,7,0,319,319
7,8,0,357,361
7,9,0,395,403
7,10,0,433,445
7,11,0,471,487
7,12,0,509,529
7,13,0,546,571
7,14,0,584,613
7,15,0,623,655
7,16,0,661,697
7,17,0,699,739
7,18,0,736,781
7,19,0,775,823
7,20,0,813,865
7,21,0,850,907
7,22,0,889,949
7,23,0,927,991
7,24,0,965,1033
7,25,0,1002,1075
7,26,0,1041,1117
7,27,0,1079,1159
7,28,0,1117,1201
7,29,0,1154,1243
7,30,0,1193,1285
7,31,0,1230,1327
7,32,0,1269,1369
8,1,0,100,73
8,2,0,149,121
8,3,0,197,169
8,4,0,244,217
8,5,0,293,265
8,6,0,340,313
8,7,0,389,361
8,8,0,437,409
8,9,0,485,457
8,10,0,533,505
8,11,0,580,553
8,12,0,629,601
8,13,0,677,649
8,14,0,724,697
8,15,0,772,745
8,16,0,820,793
8,17,0,869,841
8,18,0,916,889
8,19,0,964,937
8,20,0,1012,985
8,21,0,1061,1033
8,22,0,1109,1081
8,23,0,1157,1129
8,24,0,1204,1177
8,25,0,1253,1225
8,26,0,1300,1273
8,27,0,1349,1321
8,28,0,1397,1369
8,29,0,1445,1417
8,30,0,1492,1465
8,31,0,1541,1513
8,32,0,1588,1561
9,1,0,106,79
9,2,0,159,133
9,3,0,211,187
9,4,0,265,241
9,5,0,317,295
9,6,0,371,349
9,7,0,424,403
9,8,0,477,457
9,9,0,530,511
9,10,0,583,565
9,11,0,635,619
9,12,0,688,673
9,13,0,741,727
9,14,0,795,781
9,15,0,848,835
9,16,0,901,889
9,17,0,953,943
9,18,0,1007,997
9,19,0,1060,1051
9,20,0,1112,1105
9,21,0,1166,1159
9,22,0,1219,1213
9,23,0,1272,1267
9,24,0,1325,1321
9,25,0,1377,1375
9,26,0,1431,1429
9,27,0,1483,1483
9,28,0,1537,1537
9,29,0,1589,1591
9,30,0,1642,1645
9,31,0,1696,1699
9,32,0,1748,1753
10,1,0,110,85
10,2,0,169,145
10,3,0,227,205
10,4,0,285,265
10,5,0,343,325
10,6,0,401,385
10,7,0,459,445
10,8,0,517,505
10,9,0,575,565
10,10,0,633,625
10,11,0,691,685
10,12,0,749,745
10,13,0,806,805
10,14,0,865,865
10,15,0,923,925
10,16,0,980,985
10,17,0,1039,1045
10,18,0,1096,1105
10,19,0,1155,1165
10,20,0,1213,1225
10,21,0,1271,1285
10,22,0,1329,1345
10,23,0,1387,1405
10,24,0,1445,1465
10,25,0,1503,1525
10,26,0,1561,1585
10,27,0,1618,1645
10,28,0,1677,1705
10,29,0,1735,1765
10,30,0,1793,1825
10,31,0,1851,1885
10,32,0,1908,1945
11,1,0,115,91
11,2,0,179,157
11,3,0,241,223
11,4,0,305,289
11,5,0,368,355
11,6,0,431,421
11,7,0,494,487
11,8,0,556,553
11,9,0,619,619
11,10,0,683,685
11,11,0,746,751
11,12,0,809,817
11,13,0,872,883
11,14,0,935,949
11,15,0,998,1015
11,16,0,1061,1081
11,17,0,1123,1147
11,18,0,1187,1213
11,19,0,1250,1279
11,20,0,1313,1345
11,21,0,1376,1411
11,22,0,1438,1477
11,23,0,1502,1543
11,24,0,1565,1609
11,25,0,1627,1675
11,26,0,1691,1741
11,27,0,1754,1807
11,28,0,1817,1873
11,29,0,1880,1939
11,30,0,1942,2005
11,31,0,2006,2071
11,32,0,2069,2137
12,1,0,121,97
12,2,0,189,169
12,3,0,257,241
12,4,0,324,313
12,5,0,393,385
12,6,0,461,457
12,7,0,529,529
12,8,0,597,601
12,9,0,664,673
12,10,0,733,745
12,11,0,801,817
12,12,0,869,889
12,13,0,936,961
12,14,0,1005,1033
12,15,0,1072,1105
12,16,0,1141,1177
12,17,0,1209,1249
12,18,0,1277,1321
12,19,0,1345,1393
12,20,0,1413,1465
12,21,0,1480,1537
12,22,0,1549,1609
12,23,0,1617,1681
12,24,0,1684,1753
12,25,0,1753,1825
12,26,0,1821,1897
12,27,0,1889,1969
12,28,0,1957,2041
12,29,0,2025,2113
12,30,0,2093,2185
12,31,0,2160,2257
12,32,0,2228,2329
13,1,0,121,103
13,2,0,189,181
13,3,0,257,259
13,4,0,324,337
13,5,0,393,415
13,6,0,461,493
13,7,0,528,571
13,8,0,597,649
13,9,0,665,727
13,10,0,732,805
13,11,0,800,883
13,12,0,868,961
13,13,0,937,1039
13,14,0,1005,1117
13,15,0,1073,1195
13,16,0,1141,1273
13,17,0,1209,1351
13,18,0,1277,1429
13,19,0,1344,1507
13,20,0,1413,1585
13,21,0,1481,1663
